,Climate_region,Income_binary,Country_Name,Country_Code,Region,Income_group,Population,Land_area,Forest_area,Precipitation,Population_density,Capital_lat,GNP_per_Cap,Population_growth,Cereal_yield,Female_life_expectancy,Under_5_mortality,Renewables,CO2,PM25,Women_in_parliament,GINI_index,Govt_spend_education,Secondary_school_enrolment,School_gender_parity
11,Temperate or Polar,High,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,9535079,82662.998,13.4664854,447,115.3488166,41,7690,1.248209,2343.6,74.823,28.3,2.11681862,3.931560609,20.71006751,15.6,NA,2.63304,NA,NA
12,Tropical,Low,Burundi,BDI,Sub-Saharan Africa,Low income,9844297,25680,10.5685356,1274,383.3448988,-4,260,3.13685242,1332.7,61.433,70.8,94.5981828,0.044699992,39.38755864,30.5,NA,6.78452,39.41126,0.99295
13,Temperate or Polar,High,Belgium,BEL,Europe & Central Asia,High income,11209057,30280,22.5548224,847,370.180218,51,47800,0.44392929,9435.4,83.9,4.1,9.0739951,8.328159898,13.2336213,39.3,28.1,6.63852,162.2993,1.07985
14,Tropical,Low,Benin,BEN,Sub-Saharan Africa,Low income,10286842,112760,38.6750621,1039,91.22775807,10,930,2.78218151,1460.3,61.799,102.1,52.5379882,0.61420609,29.66045567,8.4,NA,4.32113,56.23654,0.8479
15,Tropical,Low,Burkina Faso,BFA,Sub-Saharan Africa,Low income,17586017,273600,19.7726601,748,64.27637792,13,690,2.96190081,1225.8,60.03,91,75.2426491,0.162018438,33.96909317,18.9,35.3,4.55994,30.35403,0.9483
16,Tropical,Low,Bangladesh,BGD,South Asia,Lower middle income,154520167,130170,10.9979256,2666,1187.064354,24,1110,1.14259466,4540.9,72.955,38.4,37.6344835,0.47365761,68.3953774,19.8,NA,NA,NA,NA
17,Temperate or Polar,High,Bulgaria,BGR,Europe & Central Asia,Upper middle income,7223938,108560,35.0571117,608,66.54327561,43,7730,-0.5683893,4860.7,78,8.7,16.9666248,5.871615869,20.74356996,20,37.4,NA,104.1488,0.9746
18,Tropical,High,Bahrain,BHR,Middle East & North Africa,High income,1336075,770.999985,0.76523993,83,1732.911837,26,24070,1.58774926,NA,77.696,7.7,0,23.45540632,62.75854371,7.5,NA,2.46746,98.9424,1.00919
19,Tropical,High,"Bahamas, The",BHS,Latin America & Caribbean,High income,370633,10010,51.4485514,1292,37.02627373,24,27720,0.93928457,7895.6,75.093,11.5,1.08880277,6.520069719,18.49533328,13.2,NA,NA,81.41914,1.00104
20,Temperate or Polar,High,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,3482104,51200,42.6757813,1028,68.00984375,44,5300,-1.7225623,3977.4,79.139,6.3,41.7454628,6.384938819,28.77732513,21.4,NA,NA,NA,NA
21,Temperate or Polar,High,Belarus,BLR,Europe & Central Asia,Upper middle income,9474511,202973.008,42.4371679,618,46.67867463,53,7600,0.08990256,3720.5,78.4,4.3,6.6341806,6.701957705,19.76605366,26.6,27.2,4.81831,105.5231,0.98884
22,Tropical,High,Belize,BLZ,Latin America & Caribbean,Upper middle income,353366,22810,60.1192436,1705,15.49171416,17,4230,2.18896108,3594.6,76.537,16.1,36.906168,1.400941234,24.42114809,3.1,NA,6.4953,79.76219,0.99017
23,Tropical,High,Bermuda,BMU,North America,High income,65139,54.000001,18.5185182,NA,1206.277755,32,NA,0.21230443,NA,84.69,0,1.99479861,8.838314988,12.80641477,NA,NA,1.75958,76.77734,1.05304
24,Tropical,Low,Bolivia,BOL,Latin America & Caribbean,Lower middle income,10706517,1083300,50.8197175,1146,9.883242869,-17,2830,1.54496768,1958.1,72.655,32.4,16.8179625,1.90636432,24.81882932,53.1,47.8,7.28535,84.63013,0.98709
25,Tropical,High,Brazil,BRA,Latin America & Caribbean,Upper middle income,202763735,8358140,59.1665131,1761,24.25943272,-10,12100,0.85579202,4640.4,78.45,16.2,41.8418787,2.612933521,13.98993477,9.9,51.5,5.94848,100.838,1.03266
26,Tropical,High,Barbados,BRB,Latin America & Caribbean,High income,284825,430,14.6511632,1422,662.3837209,13,15320,0.18590077,2700,80.08,13.6,3.15661695,4.467476521,25.18301447,16.7,NA,6.22941,108.1238,1.01625
27,Tropical,High,Brunei Darussalam,BRN,East Asia & Pacific,High income,409769,5270,72.1062619,2722,77.75502846,5,43140,1.31371717,1439.2,76.416,10.5,0.01397619,22.2291779,6.180830115,0,NA,3.35319,99.59155,1.01017
28,Tropical,Low,Bhutan,BTN,South Asia,Lower middle income,719056,38116.9995,72.0153749,2200,18.86444393,28,2530,1.23391155,3129.7,70.272,34.7,87.025618,1.392229534,40.83967373,8.5,NA,5.90333,82.71892,1.04076
29,Tropical,High,Botswana,BWA,Sub-Saharan Africa,Upper middle income,2088614,566730,19.3076071,416,3.685377517,-22,7840,1.25643945,304.6,68.89,42.3,28.800521,3.367451334,24.15127779,9.5,NA,NA,NA,NA
30,Tropical,Low,Central African Republic,CAF,Sub-Saharan Africa,Low income,4464175,622980,35.6120575,1343,7.165839995,7,390,0.36429095,896.1,51.928,133.6,76.9030412,0.067357126,49.35636376,NA,NA,NA,NA,NA
