treatment,individual,EL,EW,FPW,GW,HL,ML,MPW,MW,PL,PC1,PC2
GFP,1,1284.78,1393.12,1225.08,1368.91,185.76,502.08,1523.61,285.33,1072.46,0.354412629,0.424579011
GFP,2,1229.84,1322.69,1194.15,1251.6,192.43,404.97,1452.83,258.11,1024,-1.473364635,0.844539632
GFP,3,1296.28,1384.5,1212.49,1371.38,199.01,490.13,1495.46,254.56,1068.55,0.115413432,0.319266124
GFP,4,1222.41,1325.28,1152.06,1222.82,168.19,459.13,1417.41,238.46,1039.44,-2.048456687,0.503647324
GFP,5,1309.6,1391.73,1262.67,1395.47,201.22,521.08,1552.34,290.08,1119.45,1.256610703,0.441926212
GFP,6,1271.85,1326.87,1156.5,1280.87,185.96,452.96,1441.74,259.09,1041.69,-1.225316379,0.693287207
GFP,7,1386.46,1492.67,1328.96,1494.86,201.27,562.17,1614.51,305.14,1178.67,3.281090205,-0.5645672
GFP,8,1123.94,1170.22,964.75,957.97,146.36,229.05,1234.32,180.2,867.36,-7.288722701,1.080680812
GFP,9,1264.19,1377.99,1178.7,1273.71,185.76,444.3,1448.45,249.75,999.52,-1.222494258,0.348855412
GFP,10,1271.49,1375.58,1218.12,1344.59,201.66,452.12,1493,277.71,1062.73,-0.042178766,0.695790547
GFP,11,1249.69,1356.08,1169.78,1252.6,207.87,438.49,1435.48,215.76,1041.78,-1.335204219,0.448636656
GFP,12,1320.59,1488.33,1302.52,1441.78,214.54,542.44,1583.41,299.44,1127.74,2.413442108,0.119250294
GFP,13,1323.14,1438.25,1291.56,1437.4,218.96,555.57,1579.14,290.15,1123.45,2.14552823,0.417292667
GFP,14,1294.41,1410.69,1267.14,1391.05,210.25,485.01,1530.26,303.87,1083.62,1.121118211,0.730355688
GFP,15,1325.79,1441.6,1284.74,1481.55,199.06,530.74,1567.83,309.27,1130,2.076756482,0.269753587
