Diet,Pronotum,Mass0,Delta_smi,Song_week1
84,2.424038462,0.23227,0.004296155,16225
84,2.4,0.19732,0.011437094,3583
84,2.598076923,0.2476,0.057390004,9922
84,2.233653846,0.17772,0.003781694,2940
84,2.432692308,0.21544,0.036613891,3882
36,2.602884615,0.28468,-0.010413055,7386
48,2.313461538,0.19495,0.036457043,7269
72,2.129807692,0.16132,0.023920965,6494
84,2.400961538,0.21343,0.05983737,3808
84,2.576923077,0.22199,0.066483972,18528
72,2.139423077,0.17984,0.019950816,35646
60,2.404807692,0.2128,0.013863018,1951
84,2.481730769,0.20844,0.044415236,15983
84,2.206730769,0.15456,0.029864341,17898
36,2.520192308,0.21543,0.028050197,7411
36,2.418269231,0.20698,0.024033078,719
48,2.325,0.21919,0.010316703,21961
84,2.583653846,0.24939,0.013630907,7904
48,2.510576923,0.23459,0.030730202,47318
24,2.463461538,0.20314,0.009097371,1698
72,2.564423077,0.29205,-0.00146829,33311
84,2.516346154,0.23118,0.055673125,20365
24,2.451923077,0.18823,0.019285907,814
48,2.324038462,0.19622,0.008495425,7
36,2.447115385,0.20451,-0.00620983,226
48,2.255769231,0.20066,-0.012176809,65
12,2.100961538,0.16478,-0.005940445,7
24,2.302884615,0.19456,0.002127618,2375
24,2.192307692,0.16399,-0.001981047,83
24,2.318269231,0.20452,0.011477032,4972
24,2.414423077,0.1916,0.004117441,1761
24,2.326923077,0.20592,-0.016278786,0
36,2.235576923,0.18035,0.015168716,2337
36,2.424038462,0.21213,-0.009107008,10
36,2.326923077,0.19343,0.011587166,5588
36,2.375,0.19969,-0.024321815,0
48,2.3,0.19226,0.021143667,2051
48,2.443269231,0.20115,-0.008435827,0
48,2.317307692,0.22875,-0.027225473,299
48,2.240384615,0.20134,0.007055448,22134
48,2.360576923,0.19898,0.000902845,191
48,2.3125,0.17634,0.034435324,16137
48,2.206730769,0.16138,0.020864581,4140
48,2.309615385,0.20563,-0.012184147,0
48,2.427884615,0.22007,NA,0
60,2.254807692,0.18123,0.001963264,76
60,2.284615385,0.19229,0.009511653,359
60,2.230769231,0.17364,0.019542055,36309
60,2.3125,0.19843,0.025731072,37
60,2.250961538,0.17807,0.011467523,6
60,2.245192308,0.1952,-0.033029153,0
72,2.164423077,0.20082,-0.00205067,5485
72,2.168269231,0.2049,0.002541485,7035
72,2.274038462,0.18622,0.014972715,382
72,2.2375,0.1727,0.021532863,3858
72,2.288461538,0.18014,0.028667316,1451
72,2.322115385,0.18125,0.0164938,2765
72,2.307692308,0.20302,-0.005870734,0
84,2.227884615,0.18895,-0.006278103,12
84,2.4,0.2449,-0.025331576,1307
84,2.165384615,0.16724,0.011916875,187
84,2.101923077,0.20897,-0.011821946,473
84,2.3875,0.20914,0.017629704,15530
84,2.370192308,0.20989,0.004293766,78
84,2.153846154,0.16009,-0.001590582,0
84,2.349038462,0.19716,0.027590423,2549
84,2.221153846,0.17419,0.007807992,0
48,2.394230769,0.19072,-0.005983575,1305
48,2.25,0.17298,-0.006820915,83
72,2.486538462,0.26017,-0.027380404,27897
84,2.653846154,0.26005,-0.026908658,0
60,2.548076923,0.22451,0.041183891,32008
84,2.505769231,0.20613,-0.000125795,0
